ingredient,predicate,disease,pmid,year,pubmed_url,title
chromium,risk_factor_for,dementia,41373804,2025,https://pubmed.ncbi.nlm.nih.gov/41373804/,"heavy metals like aluminum, arsenic, cadmium, chromium, copper, iron, lead, manganese, mercury, nickel, and zinc polluting the drinking water: their individual health hazards."
chromium,risk_factor_for,chronic kidney disease,41373804,2025,https://pubmed.ncbi.nlm.nih.gov/41373804/,"heavy metals like aluminum, arsenic, cadmium, chromium, copper, iron, lead, manganese, mercury, nickel, and zinc polluting the drinking water: their individual health hazards."
manganese,risk_factor_for,kidney disease,41373804,2025,https://pubmed.ncbi.nlm.nih.gov/41373804/,"heavy metals like aluminum, arsenic, cadmium, chromium, copper, iron, lead, manganese, mercury, nickel, and zinc polluting the drinking water: their individual health hazards."
manganese,risk_factor_for,alzheimer,41373804,2025,https://pubmed.ncbi.nlm.nih.gov/41373804/,"heavy metals like aluminum, arsenic, cadmium, chromium, copper, iron, lead, manganese, mercury, nickel, and zinc polluting the drinking water: their individual health hazards."
manganese,risk_factor_for,dementia,41373804,2025,https://pubmed.ncbi.nlm.nih.gov/41373804/,"heavy metals like aluminum, arsenic, cadmium, chromium, copper, iron, lead, manganese, mercury, nickel, and zinc polluting the drinking water: their individual health hazards."
manganese,risk_factor_for,chronic kidney disease,41373804,2025,https://pubmed.ncbi.nlm.nih.gov/41373804/,"heavy metals like aluminum, arsenic, cadmium, chromium, copper, iron, lead, manganese, mercury, nickel, and zinc polluting the drinking water: their individual health hazards."
copper,risk_factor_for,kidney disease,41373804,2025,https://pubmed.ncbi.nlm.nih.gov/41373804/,"heavy metals like aluminum, arsenic, cadmium, chromium, copper, iron, lead, manganese, mercury, nickel, and zinc polluting the drinking water: their individual health hazards."
copper,risk_factor_for,alzheimer,41373804,2025,https://pubmed.ncbi.nlm.nih.gov/41373804/,"heavy metals like aluminum, arsenic, cadmium, chromium, copper, iron, lead, manganese, mercury, nickel, and zinc polluting the drinking water: their individual health hazards."
copper,risk_factor_for,dementia,41373804,2025,https://pubmed.ncbi.nlm.nih.gov/41373804/,"heavy metals like aluminum, arsenic, cadmium, chromium, copper, iron, lead, manganese, mercury, nickel, and zinc polluting the drinking water: their individual health hazards."
copper,risk_factor_for,chronic kidney disease,41373804,2025,https://pubmed.ncbi.nlm.nih.gov/41373804/,"heavy metals like aluminum, arsenic, cadmium, chromium, copper, iron, lead, manganese, mercury, nickel, and zinc polluting the drinking water: their individual health hazards."
sodium,risk_factor_for,chronic kidney disease,41364416,2025,https://pubmed.ncbi.nlm.nih.gov/41364416/,"temporal changes in sglt2 inhibitor and glp-1 receptor agonist use in patients with chronic kidney disease and type 2 diabetes, 2012-2023: a us cohort study."
sodium,risk_factor_for,kidney disease,41364416,2025,https://pubmed.ncbi.nlm.nih.gov/41364416/,"temporal changes in sglt2 inhibitor and glp-1 receptor agonist use in patients with chronic kidney disease and type 2 diabetes, 2012-2023: a us cohort study."
sodium,risk_factor_for,type 2 diabetes,41364416,2025,https://pubmed.ncbi.nlm.nih.gov/41364416/,"temporal changes in sglt2 inhibitor and glp-1 receptor agonist use in patients with chronic kidney disease and type 2 diabetes, 2012-2023: a us cohort study."
sodium,risk_factor_for,diabetes,41364416,2025,https://pubmed.ncbi.nlm.nih.gov/41364416/,"temporal changes in sglt2 inhibitor and glp-1 receptor agonist use in patients with chronic kidney disease and type 2 diabetes, 2012-2023: a us cohort study."
sodium nitrite,risk_factor_for,kidney disease,27028972,2016,https://pubmed.ncbi.nlm.nih.gov/27028972/,"to be-et, or not to be-et, that is the question: the role(s) of nitrate and nitrite in health and illness."
bha,risk_factor_for,chronic kidney disease,34823847,2022,https://pubmed.ncbi.nlm.nih.gov/34823847/,reoperation rate and implant survivorship compared between cementless and cemented bipolar hemiarthroplasty in femoral neck fracture patients with chronic kidney disease.
bha,risk_factor_for,kidney disease,34823847,2022,https://pubmed.ncbi.nlm.nih.gov/34823847/,reoperation rate and implant survivorship compared between cementless and cemented bipolar hemiarthroplasty in femoral neck fracture patients with chronic kidney disease.
green tea,risk_factor_for,chronic kidney disease,40044153,2025,https://pubmed.ncbi.nlm.nih.gov/40044153/,"green tea, other teas and coffee consumption and risk of death from chronic kidney disease as the underlying cause among japanese men and women: the jacc study."
green tea,risk_factor_for,kidney disease,40044153,2025,https://pubmed.ncbi.nlm.nih.gov/40044153/,"green tea, other teas and coffee consumption and risk of death from chronic kidney disease as the underlying cause among japanese men and women: the jacc study."
tea,risk_factor_for,chronic kidney disease,41019164,2025,https://pubmed.ncbi.nlm.nih.gov/41019164/,the association between tea consumption timing and kidney function: insights from a national survey.
tea,risk_factor_for,kidney disease,41019164,2025,https://pubmed.ncbi.nlm.nih.gov/41019164/,the association between tea consumption timing and kidney function: insights from a national survey.
coffee,risk_factor_for,arthritis,41069178,2025,https://pubmed.ncbi.nlm.nih.gov/41069178/,coffee and health outcomes: a systematic review of mendelian randomisation studies.
coffee,risk_factor_for,diabetes mellitus,41069178,2025,https://pubmed.ncbi.nlm.nih.gov/41069178/,coffee and health outcomes: a systematic review of mendelian randomisation studies.
coffee,risk_factor_for,migraine,41069178,2025,https://pubmed.ncbi.nlm.nih.gov/41069178/,coffee and health outcomes: a systematic review of mendelian randomisation studies.
coffee,risk_factor_for,kidney disease,41069178,2025,https://pubmed.ncbi.nlm.nih.gov/41069178/,coffee and health outcomes: a systematic review of mendelian randomisation studies.
coffee,risk_factor_for,alzheimer,41069178,2025,https://pubmed.ncbi.nlm.nih.gov/41069178/,coffee and health outcomes: a systematic review of mendelian randomisation studies.
coffee,risk_factor_for,type 2,41069178,2025,https://pubmed.ncbi.nlm.nih.gov/41069178/,coffee and health outcomes: a systematic review of mendelian randomisation studies.
coffee,risk_factor_for,diabetes,41069178,2025,https://pubmed.ncbi.nlm.nih.gov/41069178/,coffee and health outcomes: a systematic review of mendelian randomisation studies.
coffee,risk_factor_for,osteoarthritis,41069178,2025,https://pubmed.ncbi.nlm.nih.gov/41069178/,coffee and health outcomes: a systematic review of mendelian randomisation studies.
coffee,risk_factor_for,type 2 diabetes,41069178,2025,https://pubmed.ncbi.nlm.nih.gov/41069178/,coffee and health outcomes: a systematic review of mendelian randomisation studies.
coffee,risk_factor_for,rheumatoid arthritis,41069178,2025,https://pubmed.ncbi.nlm.nih.gov/41069178/,coffee and health outcomes: a systematic review of mendelian randomisation studies.
almond,risk_factor_for,chronic kidney disease,40123931,2025,https://pubmed.ncbi.nlm.nih.gov/40123931/,excessive ingestion of almond milk causes severe hypercalcemia and acute kidney injury in a patient with chronic kidney disease.
almond,risk_factor_for,kidney disease,40123931,2025,https://pubmed.ncbi.nlm.nih.gov/40123931/,excessive ingestion of almond milk causes severe hypercalcemia and acute kidney injury in a patient with chronic kidney disease.
almond,risk_factor_for,diabetes,40123931,2025,https://pubmed.ncbi.nlm.nih.gov/40123931/,excessive ingestion of almond milk causes severe hypercalcemia and acute kidney injury in a patient with chronic kidney disease.
almond,risk_factor_for,chronic kidney disease,41293182,2025,https://pubmed.ncbi.nlm.nih.gov/41293182/,nut consumption in chronic kidney disease: a systematic review.
almond,risk_factor_for,blood pressure,41293182,2025,https://pubmed.ncbi.nlm.nih.gov/41293182/,nut consumption in chronic kidney disease: a systematic review.
almond,risk_factor_for,kidney disease,41293182,2025,https://pubmed.ncbi.nlm.nih.gov/41293182/,nut consumption in chronic kidney disease: a systematic review.
yogurt,risk_factor_for,diabetes mellitus,39561691,2025,https://pubmed.ncbi.nlm.nih.gov/39561691/,milk and yogurt consumption and its association with cardiometabolic risk factors in patients with type 2 diabetes: the fukuoka diabetes registry.
yogurt,risk_factor_for,type 2,39561691,2025,https://pubmed.ncbi.nlm.nih.gov/39561691/,milk and yogurt consumption and its association with cardiometabolic risk factors in patients with type 2 diabetes: the fukuoka diabetes registry.
yogurt,risk_factor_for,kidney disease,39561691,2025,https://pubmed.ncbi.nlm.nih.gov/39561691/,milk and yogurt consumption and its association with cardiometabolic risk factors in patients with type 2 diabetes: the fukuoka diabetes registry.
yogurt,risk_factor_for,diabetes,39561691,2025,https://pubmed.ncbi.nlm.nih.gov/39561691/,milk and yogurt consumption and its association with cardiometabolic risk factors in patients with type 2 diabetes: the fukuoka diabetes registry.
yogurt,risk_factor_for,blood pressure,39561691,2025,https://pubmed.ncbi.nlm.nih.gov/39561691/,milk and yogurt consumption and its association with cardiometabolic risk factors in patients with type 2 diabetes: the fukuoka diabetes registry.
yogurt,risk_factor_for,metabolic syndrome,39561691,2025,https://pubmed.ncbi.nlm.nih.gov/39561691/,milk and yogurt consumption and its association with cardiometabolic risk factors in patients with type 2 diabetes: the fukuoka diabetes registry.
yogurt,risk_factor_for,type 2 diabetes,39561691,2025,https://pubmed.ncbi.nlm.nih.gov/39561691/,milk and yogurt consumption and its association with cardiometabolic risk factors in patients with type 2 diabetes: the fukuoka diabetes registry.
yogurt,risk_factor_for,chronic kidney disease,39561691,2025,https://pubmed.ncbi.nlm.nih.gov/39561691/,milk and yogurt consumption and its association with cardiometabolic risk factors in patients with type 2 diabetes: the fukuoka diabetes registry.
black tea,risk_factor_for,chronic kidney disease,40044153,2025,https://pubmed.ncbi.nlm.nih.gov/40044153/,"green tea, other teas and coffee consumption and risk of death from chronic kidney disease as the underlying cause among japanese men and women: the jacc study."
black tea,risk_factor_for,kidney disease,40044153,2025,https://pubmed.ncbi.nlm.nih.gov/40044153/,"green tea, other teas and coffee consumption and risk of death from chronic kidney disease as the underlying cause among japanese men and women: the jacc study."
black tea,risk_factor_for,chronic kidney disease,36639586,2023,https://pubmed.ncbi.nlm.nih.gov/36639586/,"intake of fluoride and other hofmeister ions from black tea consumption in ckdu prevalent areas, sri lanka."
black tea,risk_factor_for,kidney disease,36639586,2023,https://pubmed.ncbi.nlm.nih.gov/36639586/,"intake of fluoride and other hofmeister ions from black tea consumption in ckdu prevalent areas, sri lanka."
ultra-processed food,risk_factor_for,obesity,40726061,2025,https://pubmed.ncbi.nlm.nih.gov/40726061/,the impact of ultra-processed food consumption on frailty and sarcopenia: a systematic review.
ultra-processed food,risk_factor_for,kidney disease,40726061,2025,https://pubmed.ncbi.nlm.nih.gov/40726061/,the impact of ultra-processed food consumption on frailty and sarcopenia: a systematic review.
ultra-processed food,risk_factor_for,diabetes,40726061,2025,https://pubmed.ncbi.nlm.nih.gov/40726061/,the impact of ultra-processed food consumption on frailty and sarcopenia: a systematic review.
ultra-processed food,risk_factor_for,chronic inflammation,40726061,2025,https://pubmed.ncbi.nlm.nih.gov/40726061/,the impact of ultra-processed food consumption on frailty and sarcopenia: a systematic review.
ultra-processed food,risk_factor_for,type 2 diabetes,40726061,2025,https://pubmed.ncbi.nlm.nih.gov/40726061/,the impact of ultra-processed food consumption on frailty and sarcopenia: a systematic review.
dark chocolate,risk_factor_for,chronic kidney disease,36657913,2023,https://pubmed.ncbi.nlm.nih.gov/36657913/,dark chocolate (70% cocoa) attenuates the inflammatory marker tnf-α in patients on hemodialysis.
dark chocolate,risk_factor_for,kidney disease,36657913,2023,https://pubmed.ncbi.nlm.nih.gov/36657913/,dark chocolate (70% cocoa) attenuates the inflammatory marker tnf-α in patients on hemodialysis.
dark chocolate,risk_factor_for,cardiovascular disease,36657913,2023,https://pubmed.ncbi.nlm.nih.gov/36657913/,dark chocolate (70% cocoa) attenuates the inflammatory marker tnf-α in patients on hemodialysis.
alcohol,risk_factor_for,kidney disease,41346895,2025,https://pubmed.ncbi.nlm.nih.gov/41346895/,a retrospective study to assess the association between binge drinking and kidney diseases.
alcohol,risk_factor_for,heart disease,41370077,2025,https://pubmed.ncbi.nlm.nih.gov/41370077/,"risk factors for west nile neuroinvasive disease and mortality in the us, 2013-2024."
alcohol,risk_factor_for,arthritis,41370077,2025,https://pubmed.ncbi.nlm.nih.gov/41370077/,"risk factors for west nile neuroinvasive disease and mortality in the us, 2013-2024."
alcohol,risk_factor_for,chronic obstructive pulmonary disease,41370077,2025,https://pubmed.ncbi.nlm.nih.gov/41370077/,"risk factors for west nile neuroinvasive disease and mortality in the us, 2013-2024."
alcohol,risk_factor_for,kidney disease,41370077,2025,https://pubmed.ncbi.nlm.nih.gov/41370077/,"risk factors for west nile neuroinvasive disease and mortality in the us, 2013-2024."
alcohol,risk_factor_for,liver disease,41370077,2025,https://pubmed.ncbi.nlm.nih.gov/41370077/,"risk factors for west nile neuroinvasive disease and mortality in the us, 2013-2024."
alcohol,risk_factor_for,neoplasm,41370077,2025,https://pubmed.ncbi.nlm.nih.gov/41370077/,"risk factors for west nile neuroinvasive disease and mortality in the us, 2013-2024."
alcohol,risk_factor_for,hypertension,41370077,2025,https://pubmed.ncbi.nlm.nih.gov/41370077/,"risk factors for west nile neuroinvasive disease and mortality in the us, 2013-2024."
alcohol,risk_factor_for,diabetes,41370077,2025,https://pubmed.ncbi.nlm.nih.gov/41370077/,"risk factors for west nile neuroinvasive disease and mortality in the us, 2013-2024."
alcohol,risk_factor_for,cerebrovascular disease,41370077,2025,https://pubmed.ncbi.nlm.nih.gov/41370077/,"risk factors for west nile neuroinvasive disease and mortality in the us, 2013-2024."
alcohol,risk_factor_for,dementia,41370077,2025,https://pubmed.ncbi.nlm.nih.gov/41370077/,"risk factors for west nile neuroinvasive disease and mortality in the us, 2013-2024."
alcohol,risk_factor_for,chronic kidney disease,41370077,2025,https://pubmed.ncbi.nlm.nih.gov/41370077/,"risk factors for west nile neuroinvasive disease and mortality in the us, 2013-2024."
alcohol,risk_factor_for,asthma,41370077,2025,https://pubmed.ncbi.nlm.nih.gov/41370077/,"risk factors for west nile neuroinvasive disease and mortality in the us, 2013-2024."
alcohol,risk_factor_for,rheumatoid arthritis,41370077,2025,https://pubmed.ncbi.nlm.nih.gov/41370077/,"risk factors for west nile neuroinvasive disease and mortality in the us, 2013-2024."
alcohol,risk_factor_for,kidney disease,41379769,2025,https://pubmed.ncbi.nlm.nih.gov/41379769/,risk of cancer following presentation with new-onset atrial fibrillation using data from uk national databases.
alcohol,risk_factor_for,breast cancer,41379769,2025,https://pubmed.ncbi.nlm.nih.gov/41379769/,risk of cancer following presentation with new-onset atrial fibrillation using data from uk national databases.
alcohol,risk_factor_for,colorectal cancer,41379769,2025,https://pubmed.ncbi.nlm.nih.gov/41379769/,risk of cancer following presentation with new-onset atrial fibrillation using data from uk national databases.
alcohol,risk_factor_for,cardiovascular disease,41379769,2025,https://pubmed.ncbi.nlm.nih.gov/41379769/,risk of cancer following presentation with new-onset atrial fibrillation using data from uk national databases.
alcohol,risk_factor_for,chronic kidney disease,41379769,2025,https://pubmed.ncbi.nlm.nih.gov/41379769/,risk of cancer following presentation with new-onset atrial fibrillation using data from uk national databases.
alcohol,risk_factor_for,lung cancer,41379769,2025,https://pubmed.ncbi.nlm.nih.gov/41379769/,risk of cancer following presentation with new-onset atrial fibrillation using data from uk national databases.
alcohol,risk_factor_for,prostate cancer,41379769,2025,https://pubmed.ncbi.nlm.nih.gov/41379769/,risk of cancer following presentation with new-onset atrial fibrillation using data from uk national databases.
yogurt,risk_factor_for,diabetes mellitus,40274201,2025,https://pubmed.ncbi.nlm.nih.gov/40274201/,"association between probiotic, prebiotic, synbiotics, and yogurt supplements and diabetic kidney disease: the national health and nutrition examination survey 2007-2016."
yogurt,risk_factor_for,type 2,40274201,2025,https://pubmed.ncbi.nlm.nih.gov/40274201/,"association between probiotic, prebiotic, synbiotics, and yogurt supplements and diabetic kidney disease: the national health and nutrition examination survey 2007-2016."
yogurt,risk_factor_for,kidney disease,40274201,2025,https://pubmed.ncbi.nlm.nih.gov/40274201/,"association between probiotic, prebiotic, synbiotics, and yogurt supplements and diabetic kidney disease: the national health and nutrition examination survey 2007-2016."
yogurt,risk_factor_for,renal disease,40274201,2025,https://pubmed.ncbi.nlm.nih.gov/40274201/,"association between probiotic, prebiotic, synbiotics, and yogurt supplements and diabetic kidney disease: the national health and nutrition examination survey 2007-2016."
yogurt,risk_factor_for,hypertension,40274201,2025,https://pubmed.ncbi.nlm.nih.gov/40274201/,"association between probiotic, prebiotic, synbiotics, and yogurt supplements and diabetic kidney disease: the national health and nutrition examination survey 2007-2016."
yogurt,risk_factor_for,diabetes,40274201,2025,https://pubmed.ncbi.nlm.nih.gov/40274201/,"association between probiotic, prebiotic, synbiotics, and yogurt supplements and diabetic kidney disease: the national health and nutrition examination survey 2007-2016."
yogurt,risk_factor_for,type 2 diabetes,40274201,2025,https://pubmed.ncbi.nlm.nih.gov/40274201/,"association between probiotic, prebiotic, synbiotics, and yogurt supplements and diabetic kidney disease: the national health and nutrition examination survey 2007-2016."
maltol,risk_factor_for,inflammatory bowel disease,34640466,2021,https://pubmed.ncbi.nlm.nih.gov/34640466/,iron replacement therapy with oral ferric maltol: review of the evidence and expert opinion.
maltol,risk_factor_for,kidney disease,34640466,2021,https://pubmed.ncbi.nlm.nih.gov/34640466/,iron replacement therapy with oral ferric maltol: review of the evidence and expert opinion.
maltol,risk_factor_for,iron deficiency,34640466,2021,https://pubmed.ncbi.nlm.nih.gov/34640466/,iron replacement therapy with oral ferric maltol: review of the evidence and expert opinion.
maltol,risk_factor_for,chronic kidney disease,34640466,2021,https://pubmed.ncbi.nlm.nih.gov/34640466/,iron replacement therapy with oral ferric maltol: review of the evidence and expert opinion.
maltol,risk_factor_for,anemia,34640466,2021,https://pubmed.ncbi.nlm.nih.gov/34640466/,iron replacement therapy with oral ferric maltol: review of the evidence and expert opinion.
glucose,risk_factor_for,heart disease,41378319,2025,https://pubmed.ncbi.nlm.nih.gov/41378319/,nonlinear association between glycemic markers and incident cardio‑renal‑metabolic multimorbidity: two decades of follow‑up in the tehran lipid and glucose study.
glucose,risk_factor_for,diabetes mellitus,41378319,2025,https://pubmed.ncbi.nlm.nih.gov/41378319/,nonlinear association between glycemic markers and incident cardio‑renal‑metabolic multimorbidity: two decades of follow‑up in the tehran lipid and glucose study.
glucose,risk_factor_for,kidney disease,41378319,2025,https://pubmed.ncbi.nlm.nih.gov/41378319/,nonlinear association between glycemic markers and incident cardio‑renal‑metabolic multimorbidity: two decades of follow‑up in the tehran lipid and glucose study.
glucose,risk_factor_for,coronary heart disease,41378319,2025,https://pubmed.ncbi.nlm.nih.gov/41378319/,nonlinear association between glycemic markers and incident cardio‑renal‑metabolic multimorbidity: two decades of follow‑up in the tehran lipid and glucose study.
glucose,risk_factor_for,stroke,41378319,2025,https://pubmed.ncbi.nlm.nih.gov/41378319/,nonlinear association between glycemic markers and incident cardio‑renal‑metabolic multimorbidity: two decades of follow‑up in the tehran lipid and glucose study.
glucose,risk_factor_for,diabetes,41378319,2025,https://pubmed.ncbi.nlm.nih.gov/41378319/,nonlinear association between glycemic markers and incident cardio‑renal‑metabolic multimorbidity: two decades of follow‑up in the tehran lipid and glucose study.
glucose,risk_factor_for,cardiovascular disease,41378319,2025,https://pubmed.ncbi.nlm.nih.gov/41378319/,nonlinear association between glycemic markers and incident cardio‑renal‑metabolic multimorbidity: two decades of follow‑up in the tehran lipid and glucose study.
glucose,risk_factor_for,type 2 diabetes,41378319,2025,https://pubmed.ncbi.nlm.nih.gov/41378319/,nonlinear association between glycemic markers and incident cardio‑renal‑metabolic multimorbidity: two decades of follow‑up in the tehran lipid and glucose study.
glucose,risk_factor_for,insulin resistance,41378319,2025,https://pubmed.ncbi.nlm.nih.gov/41378319/,nonlinear association between glycemic markers and incident cardio‑renal‑metabolic multimorbidity: two decades of follow‑up in the tehran lipid and glucose study.
glucose,risk_factor_for,chronic kidney disease,41378319,2025,https://pubmed.ncbi.nlm.nih.gov/41378319/,nonlinear association between glycemic markers and incident cardio‑renal‑metabolic multimorbidity: two decades of follow‑up in the tehran lipid and glucose study.
glucose,risk_factor_for,stroke,41385174,2025,https://pubmed.ncbi.nlm.nih.gov/41385174/,association of post-procedural glucose with clinical outcomes after endovascular therapy for large vessel occlusion.
glucose,risk_factor_for,ischemic stroke,41388331,2025,https://pubmed.ncbi.nlm.nih.gov/41388331/,development and validation of multiple machine learning models integrating neutrophil-lymphocyte ratio for prediction of hemorrhagic transformation after intravenous thrombolysis in acute ischemic stroke.
glucose,risk_factor_for,stroke,41388331,2025,https://pubmed.ncbi.nlm.nih.gov/41388331/,development and validation of multiple machine learning models integrating neutrophil-lymphocyte ratio for prediction of hemorrhagic transformation after intravenous thrombolysis in acute ischemic stroke.
glucose,risk_factor_for,obesity,41389033,2025,https://pubmed.ncbi.nlm.nih.gov/41389033/,"clinical implications of the interaction between metabolic risk factors, coronary artery disease and atrial fibrillation."
glucose,risk_factor_for,coronary artery disease,41389033,2025,https://pubmed.ncbi.nlm.nih.gov/41389033/,"clinical implications of the interaction between metabolic risk factors, coronary artery disease and atrial fibrillation."
glucose,risk_factor_for,stroke,41389033,2025,https://pubmed.ncbi.nlm.nih.gov/41389033/,"clinical implications of the interaction between metabolic risk factors, coronary artery disease and atrial fibrillation."
glucose,risk_factor_for,diabetes,41389033,2025,https://pubmed.ncbi.nlm.nih.gov/41389033/,"clinical implications of the interaction between metabolic risk factors, coronary artery disease and atrial fibrillation."
glucose,risk_factor_for,type 2 diabetes,41389033,2025,https://pubmed.ncbi.nlm.nih.gov/41389033/,"clinical implications of the interaction between metabolic risk factors, coronary artery disease and atrial fibrillation."
sucrose,risk_factor_for,cardiovascular diseases,41056811,2025,https://pubmed.ncbi.nlm.nih.gov/41056811/,identifying genetic variants associated with sugar intake and appraising the genetic correlations with cardiovascular outcomes.
sucrose,risk_factor_for,stroke,41056811,2025,https://pubmed.ncbi.nlm.nih.gov/41056811/,identifying genetic variants associated with sugar intake and appraising the genetic correlations with cardiovascular outcomes.
sucrose,risk_factor_for,ischemic stroke,41056811,2025,https://pubmed.ncbi.nlm.nih.gov/41056811/,identifying genetic variants associated with sugar intake and appraising the genetic correlations with cardiovascular outcomes.
sucrose,risk_factor_for,cardiovascular disease,41056811,2025,https://pubmed.ncbi.nlm.nih.gov/41056811/,identifying genetic variants associated with sugar intake and appraising the genetic correlations with cardiovascular outcomes.
omega-6 fatty acids,risk_factor_for,heart disease,40075437,2025,https://pubmed.ncbi.nlm.nih.gov/40075437/,"dietary and circulating omega-6 fatty acids and their impact on cardiovascular disease, cancer risk, and mortality: a global meta-analysis of 150 cohorts and meta-regression."
omega-6 fatty acids,risk_factor_for,cardiovascular diseases,40075437,2025,https://pubmed.ncbi.nlm.nih.gov/40075437/,"dietary and circulating omega-6 fatty acids and their impact on cardiovascular disease, cancer risk, and mortality: a global meta-analysis of 150 cohorts and meta-regression."
omega-6 fatty acids,risk_factor_for,coronary heart disease,40075437,2025,https://pubmed.ncbi.nlm.nih.gov/40075437/,"dietary and circulating omega-6 fatty acids and their impact on cardiovascular disease, cancer risk, and mortality: a global meta-analysis of 150 cohorts and meta-regression."
omega-6 fatty acids,risk_factor_for,stroke,40075437,2025,https://pubmed.ncbi.nlm.nih.gov/40075437/,"dietary and circulating omega-6 fatty acids and their impact on cardiovascular disease, cancer risk, and mortality: a global meta-analysis of 150 cohorts and meta-regression."
omega-6 fatty acids,risk_factor_for,cardiovascular disease,40075437,2025,https://pubmed.ncbi.nlm.nih.gov/40075437/,"dietary and circulating omega-6 fatty acids and their impact on cardiovascular disease, cancer risk, and mortality: a global meta-analysis of 150 cohorts and meta-regression."
omega-6 fatty acids,risk_factor_for,prostate cancer,40075437,2025,https://pubmed.ncbi.nlm.nih.gov/40075437/,"dietary and circulating omega-6 fatty acids and their impact on cardiovascular disease, cancer risk, and mortality: a global meta-analysis of 150 cohorts and meta-regression."
omega-6 fatty acids,risk_factor_for,neoplasms,40075437,2025,https://pubmed.ncbi.nlm.nih.gov/40075437/,"dietary and circulating omega-6 fatty acids and their impact on cardiovascular disease, cancer risk, and mortality: a global meta-analysis of 150 cohorts and meta-regression."
green tea,risk_factor_for,hypertension,40497293,2025,https://pubmed.ncbi.nlm.nih.gov/40497293/,effect of green tea supplementation on blood pressure in adults: a grade-assessed systematic review and dose-response meta-analysis of randomised controlled trials.
green tea,risk_factor_for,stroke,40497293,2025,https://pubmed.ncbi.nlm.nih.gov/40497293/,effect of green tea supplementation on blood pressure in adults: a grade-assessed systematic review and dose-response meta-analysis of randomised controlled trials.
green tea,risk_factor_for,blood pressure,40497293,2025,https://pubmed.ncbi.nlm.nih.gov/40497293/,effect of green tea supplementation on blood pressure in adults: a grade-assessed systematic review and dose-response meta-analysis of randomised controlled trials.
green tea,risk_factor_for,high blood pressure,40497293,2025,https://pubmed.ncbi.nlm.nih.gov/40497293/,effect of green tea supplementation on blood pressure in adults: a grade-assessed systematic review and dose-response meta-analysis of randomised controlled trials.
green tea,risk_factor_for,cardiovascular disease,40497293,2025,https://pubmed.ncbi.nlm.nih.gov/40497293/,effect of green tea supplementation on blood pressure in adults: a grade-assessed systematic review and dose-response meta-analysis of randomised controlled trials.
erythritol,risk_factor_for,heart disease,41137360,2025,https://pubmed.ncbi.nlm.nih.gov/41137360/,"role of erythritol in coronary heart disease, ischemic stroke, and venous thromboembolism: a mendelian randomization analysis."
erythritol,risk_factor_for,ischemic stroke,41137360,2025,https://pubmed.ncbi.nlm.nih.gov/41137360/,"role of erythritol in coronary heart disease, ischemic stroke, and venous thromboembolism: a mendelian randomization analysis."
erythritol,risk_factor_for,coronary heart disease,41137360,2025,https://pubmed.ncbi.nlm.nih.gov/41137360/,"role of erythritol in coronary heart disease, ischemic stroke, and venous thromboembolism: a mendelian randomization analysis."
erythritol,risk_factor_for,stroke,41137360,2025,https://pubmed.ncbi.nlm.nih.gov/41137360/,"role of erythritol in coronary heart disease, ischemic stroke, and venous thromboembolism: a mendelian randomization analysis."
mannitol,risk_factor_for,stroke,40721251,2025,https://pubmed.ncbi.nlm.nih.gov/40721251/,"mannitol for cerebral oedema after acute intracerebral haemorrhage (mace-ich): protocol for a prospective, randomised, open-label, blinded-endpoint phase iib trial."
coffee,risk_factor_for,ischemic stroke,40725264,2025,https://pubmed.ncbi.nlm.nih.gov/40725264/,impact of food exposome on atherosclerotic plaque stability: metabolomic insights from human carotid endarterectomy specimen.
coffee,risk_factor_for,stroke,40725264,2025,https://pubmed.ncbi.nlm.nih.gov/40725264/,impact of food exposome on atherosclerotic plaque stability: metabolomic insights from human carotid endarterectomy specimen.
erythritol,risk_factor_for,stroke,36849732,2023,https://pubmed.ncbi.nlm.nih.gov/36849732/,the artificial sweetener erythritol and cardiovascular event risk.
erythritol,risk_factor_for,heart disease,39339699,2024,https://pubmed.ncbi.nlm.nih.gov/39339699/,serum erythritol and risk of overall and cause-specific mortality in a cohort of men.
erythritol,risk_factor_for,cardiovascular diseases,39339699,2024,https://pubmed.ncbi.nlm.nih.gov/39339699/,serum erythritol and risk of overall and cause-specific mortality in a cohort of men.
erythritol,risk_factor_for,stroke,39339699,2024,https://pubmed.ncbi.nlm.nih.gov/39339699/,serum erythritol and risk of overall and cause-specific mortality in a cohort of men.
erythritol,risk_factor_for,blood pressure,39339699,2024,https://pubmed.ncbi.nlm.nih.gov/39339699/,serum erythritol and risk of overall and cause-specific mortality in a cohort of men.
erythritol,risk_factor_for,cardiovascular disease,39339699,2024,https://pubmed.ncbi.nlm.nih.gov/39339699/,serum erythritol and risk of overall and cause-specific mortality in a cohort of men.
erythritol,risk_factor_for,neoplasms,39339699,2024,https://pubmed.ncbi.nlm.nih.gov/39339699/,serum erythritol and risk of overall and cause-specific mortality in a cohort of men.
erythritol,risk_factor_for,heart disease,41141604,2025,https://pubmed.ncbi.nlm.nih.gov/41141604/,"associations between artificial sweeteners and cardiovascular disease, stroke, and diabetes: a mendelian randomization study."
erythritol,risk_factor_for,coronary heart disease,41141604,2025,https://pubmed.ncbi.nlm.nih.gov/41141604/,"associations between artificial sweeteners and cardiovascular disease, stroke, and diabetes: a mendelian randomization study."
